4/26/2002,46100,46100,46100,46100,1,1
5/3/2002,46300,46300,46300,46300,1,1
5/10/2002,44400,44400,44400,44400,1,1
5/17/2002,44400,44400,44400,44400,1,1
5/24/2002,47200,47200,47200,47200,1,1
5/31/2002,39200,39200,39200,39200,1,1
6/7/2002,46100,46100,46100,46100,1,1
6/14/2002,46200,46200,46200,46200,1,1
6/21/2002,46600,46600,46600,46600,1,1
6/28/2002,48100,48100,48100,48100,1,1
7/5/2002,39100,39100,39100,39100,1,1
7/12/2002,49700,49700,49700,49700,1,1
7/19/2002,49600,49600,49600,49600,1,1
7/26/2002,47600,47600,47600,47600,1,1
8/2/2002,48400,48400,48400,48400,1,1
8/9/2002,46900,46900,46900,46900,1,1
8/16/2002,48700,48700,48700,48700,1,1
8/23/2002,50200,50200,50200,50200,1,1
8/30/2002,53900,53900,53900,53900,1,1
9/6/2002,47800,47800,47800,47800,1,1
9/13/2002,51800,51800,51800,51800,1,1
9/20/2002,53700,53700,53700,53700,1,1
9/27/2002,54600,54600,54600,54600,1,1
10/4/2002,52500,52500,52500,52500,1,1
10/11/2002,53300,53300,53300,53300,1,1
10/18/2002,51800,51800,51800,51800,1,1
10/25/2002,54100,54100,54100,54100,1,1
11/1/2002,56200,56200,56200,56200,1,1
11/8/2002,57100,57100,57100,57100,1,1
11/15/2002,55700,55700,55700,55700,1,1
11/22/2002,56000,56000,56000,56000,1,1
11/29/2002,46400,46400,46400,46400,1,1
12/6/2002,58300,58300,58300,58300,1,1
12/13/2002,58400,58400,58400,58400,1,1
12/20/2002,58000,58000,58000,58000,1,1
12/27/2002,38900,38900,38900,38900,1,1
1/3/2003,48100,48100,48100,48100,1,1
1/10/2003,63700,63700,63700,63700,1,1
1/17/2003,63800,63800,63800,63800,1,1
1/24/2003,59300,59300,59300,59300,1,1
1/31/2003,55000,55000,55000,55000,1,1
2/7/2003,58400,58400,58400,58400,1,1
2/14/2003,57800,57800,57800,57800,1,1
2/21/2003,53500,53500,53500,53500,1,1
2/28/2003,56900,56900,56900,56900,1,1
3/7/2003,59900,59900,59900,59900,1,1
3/14/2003,61100,61100,61100,61100,1,1
3/21/2003,62900,62900,62900,62900,1,1
3/28/2003,54100,54100,54100,54100,1,1
4/4/2003,56400,56400,56400,56400,1,1
4/11/2003,53800,53800,53800,53800,1,1
4/18/2003,54100,54100,54100,54100,1,1
4/25/2003,53800,53800,53800,53800,1,1
5/2/2003,53500,53500,53500,53500,1,1
5/9/2003,52700,52700,52700,52700,1,1
5/16/2003,51700,51700,51700,51700,1,1
5/23/2003,50300,50300,50300,50300,1,1
5/30/2003,44100,44100,44100,44100,1,1
6/6/2003,54500,54500,54500,54500,1,1
6/13/2003,50800,50800,50800,50800,1,1
6/20/2003,47000,47000,47000,47000,1,1
6/27/2003,46700,46700,46700,46700,1,1
7/4/2003,41300,41300,41300,41300,1,1
7/11/2003,52300,52300,52300,52300,1,1
7/18/2003,49900,49900,49900,49900,1,1
7/25/2003,50500,50500,50500,50500,1,1
8/1/2003,51000,51000,51000,51000,1,1
8/8/2003,52700,52700,52700,52700,1,1
8/15/2003,53600,53600,53600,53600,1,1
8/22/2003,52600,52600,52600,52600,1,1
8/29/2003,53300,53300,53300,53300,1,1
9/5/2003,49900,49900,49900,49900,1,1
9/12/2003,55700,55700,55700,55700,1,1
9/19/2003,58600,58600,58600,58600,1,1
9/26/2003,61900,61900,61900,61900,1,1
10/3/2003,59500,59500,59500,59500,1,1
10/10/2003,57000,57000,57000,57000,1,1
10/17/2003,61200,61200,61200,61200,1,1
10/24/2003,64400,64400,64400,64400,1,1
10/31/2003,60100,60100,60100,60100,1,1
11/7/2003,59300,59300,59300,59300,1,1
11/14/2003,60000,60000,60000,60000,1,1
11/21/2003,62000,62000,62000,62000,1,1
11/28/2003,45300,45300,45300,45300,1,1
12/5/2003,61100,61100,61100,61100,1,1
12/12/2003,59800,59800,59800,59800,1,1
12/19/2003,58500,58500,58500,58500,1,1
12/26/2003,37500,37500,37500,37500,1,1
1/2/2004,35300,35300,35300,35300,1,1
1/9/2004,48800,48800,48800,48800,1,1
1/16/2004,56900,56900,56900,56900,1,1
1/23/2004,55300,55300,55300,55300,1,1
1/30/2004,50300,50300,50300,50300,1,1
2/6/2004,50000,50000,50000,50000,1,1
2/13/2004,50800,50800,50800,50800,1,1
2/20/2004,52400,52400,52400,52400,1,1
2/27/2004,52400,52400,52400,52400,1,1
3/5/2004,51900,51900,51900,51900,1,1
3/12/2004,47000,47000,47000,47000,1,1
3/19/2004,48500,48500,48500,48500,1,1
3/26/2004,44400,44400,44400,44400,1,1
4/2/2004,42700,42700,42700,42700,1,1
4/9/2004,39300,39300,39300,39300,1,1
4/16/2004,39500,39500,39500,39500,1,1
4/23/2004,41800,41800,41800,41800,1,1
4/30/2004,40000,40000,40000,40000,1,1
5/7/2004,39700,39700,39700,39700,1,1
5/14/2004,42300,42300,42300,42300,1,1
5/21/2004,40900,40900,40900,40900,1,1
5/28/2004,43400,43400,43400,43400,1,1
6/4/2004,34900,34900,34900,34900,1,1
6/11/2004,39300,39300,39300,39300,1,1
6/18/2004,41000,41000,41000,41000,1,1
6/25/2004,40800,40800,40800,40800,1,1
7/2/2004,40200,40200,40200,40200,1,1
7/9/2004,34700,34700,34700,34700,1,1
7/16/2004,42800,42800,42800,42800,1,1
7/23/2004,47700,47700,47700,47700,1,1
7/30/2004,44000,44000,44000,44000,1,1
8/6/2004,45000,45000,45000,45000,1,1
8/13/2004,45900,45900,45900,45900,1,1
8/20/2004,45000,45000,45000,45000,1,1
8/27/2004,45900,45900,45900,45900,1,1
9/3/2004,49000,49000,49000,49000,1,1
9/10/2004,40300,40300,40300,40300,1,1
9/17/2004,46000,46000,46000,46000,1,1
9/24/2004,45600,45600,45600,45600,1,1
10/1/2004,44900,44900,44900,44900,1,1
10/8/2004,45800,45800,45800,45800,1,1
10/15/2004,45100,45100,45100,45100,1,1
10/22/2004,48300,48300,48300,48300,1,1
10/29/2004,47600,47600,47600,47600,1,1
11/5/2004,47300,47300,47300,47300,1,1
11/12/2004,46900,46900,46900,46900,1,1
11/19/2004,45900,45900,45900,45900,1,1
11/26/2004,34700,34700,34700,34700,1,1
12/3/2004,51500,51500,51500,51500,1,1
12/10/2004,51500,51500,51500,51500,1,1
12/17/2004,54400,54400,54400,54400,1,1
12/24/2004,41800,41800,41800,41800,1,1
12/31/2004,42700,42700,42700,42700,1,1
1/7/2005,52200,52200,52200,52200,1,1
1/14/2005,58800,58800,58800,58800,1,1
1/21/2005,49600,49600,49600,49600,1,1
1/28/2005,48700,48700,48700,48700,1,1
2/4/2005,49100,49100,49100,49100,1,1
2/11/2005,46200,46200,46200,46200,1,1
2/18/2005,46900,46900,46900,46900,1,1
2/25/2005,44200,44200,44200,44200,1,1
3/4/2005,42300,42300,42300,42300,1,1
3/11/2005,45200,45200,45200,45200,1,1
3/18/2005,43700,43700,43700,43700,1,1
3/25/2005,42400,42400,42400,42400,1,1
4/1/2005,41300,41300,41300,41300,1,1
4/8/2005,42700,42700,42700,42700,1,1
4/15/2005,41900,41900,41900,41900,1,1
4/22/2005,38800,38800,38800,38800,1,1
4/29/2005,39300,39300,39300,39300,1,1
5/6/2005,40600,40600,40600,40600,1,1
5/13/2005,39400,39400,39400,39400,1,1
5/20/2005,39100,39100,39100,39100,1,1
5/27/2005,38000,38000,38000,38000,1,1
6/3/2005,33300,33300,33300,33300,1,1
6/10/2005,37400,37400,37400,37400,1,1
6/17/2005,36500,36500,36500,36500,1,1
6/24/2005,36400,36400,36400,36400,1,1
7/1/2005,36900,36900,36900,36900,1,1
7/8/2005,32500,32500,32500,32500,1,1
7/15/2005,40300,40300,40300,40300,1,1
7/22/2005,41000,41000,41000,41000,1,1
7/29/2005,39400,39400,39400,39400,1,1
8/5/2005,38700,38700,38700,38700,1,1
8/12/2005,40400,40400,40400,40400,1,1
8/19/2005,44400,44400,44400,44400,1,1
8/26/2005,42600,42600,42600,42600,1,1
9/2/2005,43300,43300,43300,43300,1,1
9/9/2005,40000,40000,40000,40000,1,1
9/16/2005,42500,42500,42500,42500,1,1
9/23/2005,44400,44400,44400,44400,1,1
9/30/2005,44300,44300,44300,44300,1,1
10/7/2005,43700,43700,43700,43700,1,1
10/14/2005,48100,48100,48100,48100,1,1
10/21/2005,51500,51500,51500,51500,1,1
10/28/2005,48500,48500,48500,48500,1,1
11/4/2005,52200,52200,52200,52200,1,1
11/11/2005,49700,49700,49700,49700,1,1
11/18/2005,49200,49200,49200,49200,1,1
11/25/2005,39100,39100,39100,39100,1,1
12/2/2005,49600,49600,49600,49600,1,1
12/9/2005,48000,48000,48000,48000,1,1
12/16/2005,47200,47200,47200,47200,1,1
12/23/2005,43800,43800,43800,43800,1,1
12/30/2005,36900,36900,36900,36900,1,1
1/6/2006,42800,42800,42800,42800,1,1
1/13/2006,50000,50000,50000,50000,1,1
1/20/2006,47200,47200,47200,47200,1,1
1/27/2006,45800,45800,45800,45800,1,1
2/3/2006,44600,44600,44600,44600,1,1
2/10/2006,43400,43400,43400,43400,1,1
2/17/2006,41000,41000,41000,41000,1,1
2/24/2006,41900,41900,41900,41900,1,1
3/3/2006,45400,45400,45400,45400,1,1
3/10/2006,46400,46400,46400,46400,1,1
3/17/2006,45300,45300,45300,45300,1,1
3/24/2006,42300,42300,42300,42300,1,1
3/31/2006,43100,43100,43100,43100,1,1
4/7/2006,43700,43700,43700,43700,1,1
4/14/2006,42500,42500,42500,42500,1,1
4/21/2006,40200,40200,40200,40200,1,1
4/28/2006,43700,43700,43700,43700,1,1
5/5/2006,40800,40800,40800,40800,1,1
5/12/2006,40600,40600,40600,40600,1,1
5/19/2006,40800,40800,40800,40800,1,1
5/26/2006,39000,39000,39000,39000,1,1
6/2/2006,34700,34700,34700,34700,1,1
6/9/2006,41000,41000,41000,41000,1,1
6/16/2006,40700,40700,40700,40700,1,1
6/23/2006,41000,41000,41000,41000,1,1
6/30/2006,40800,40800,40800,40800,1,1
7/7/2006,34300,34300,34300,34300,1,1
7/14/2006,46200,46200,46200,46200,1,1
7/21/2006,42800,42800,42800,42800,1,1
7/28/2006,43200,43200,43200,43200,1,1
8/4/2006,42900,42900,42900,42900,1,1
8/11/2006,47000,47000,47000,47000,1,1
8/18/2006,47400,47400,47400,47400,1,1
8/25/2006,48600,48600,48600,48600,1,1
9/1/2006,49800,49800,49800,49800,1,1
9/8/2006,43900,43900,43900,43900,1,1
9/15/2006,49000,49000,49000,49000,1,1
9/22/2006,49900,49900,49900,49900,1,1
